City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
Rikitea,PF,72.54,clear sky,-23.1203,-134.9692,People ThankYou
Vila Velha,BR,73.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
Atasu,KZ,73.42,clear sky,48.6814,71.6433,Dostyk
Matadi,CD,88.14,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
Bom Jesus,BR,87.62,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
Salinopolis,BR,83.21,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Lorengau,PG,80.11,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
Bandarbeyla,SO,83.43,broken clouds,9.4942,50.8122,JABIR HOTEL
Kavieng,PG,80.67,light rain,-2.5744,150.7967,Nusa Island Retreat
Yulara,AU,78.01,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
Porto Nacional,BR,84.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Katobu,ID,75.33,overcast clouds,-4.9408,122.5276,La Ode Husein
Kibala,TD,89.55,broken clouds,9.1104,18.3463,Prasant Hotels
Bengkulu,ID,77.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Virginia Beach,US,73.02,few clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
Lazaro Cardenas,MX,74.97,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
Alyangula,AU,78.4,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
Babu,CN,83.5,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
Bethel,US,70.66,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Emerald,AU,74.59,clear sky,-23.5333,148.1667,The Irish Village
