City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Port Elizabeth,ZA,-33.918,25.5701,58.1,94,75,19.57,shower rain
Teseney,ER,15.11,36.6575,94.82,34,97,6.22,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,75.58,77,37,10.85,scattered clouds
Ushuaia,AR,-54.8,-68.3,33.46,86,0,0.0,clear sky
Ribeira Grande,PT,38.5167,-28.7,75.6,94,75,10.36,broken clouds
Mount Isa,AU,-20.7333,139.5,78.57,36,40,0.0,light rain
Nikolskoye,RU,59.7035,30.7861,51.69,92,100,14.36,light rain
Rikitea,PF,-23.1203,-134.9692,72.54,76,9,14.23,clear sky
Dikson,RU,73.5069,80.5464,35.15,69,95,16.8,overcast clouds
Hermanus,ZA,-34.4187,19.2345,63.81,51,9,7.87,clear sky
Punta Arenas,CL,-53.15,-70.9167,37.51,87,75,8.05,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,65.89,32,13,11.27,few clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,71,20,4.61,few clouds
Avarua,CK,-21.2078,-159.775,71.65,94,100,1.14,overcast clouds
Boueni,YT,-12.9025,45.0761,82.38,72,17,4.52,few clouds
Butaritari,KI,3.0707,172.7902,81.36,77,16,12.97,light rain
Taoudenni,ML,22.6783,-3.9836,103.98,13,17,7.36,few clouds
Grand Gaube,MU,-20.0064,57.6608,75.6,61,0,7.0,clear sky
Trelew,AR,-43.249,-65.3051,41.09,91,100,19.82,moderate rain
Padang,ID,-0.9492,100.3543,78.85,84,91,1.03,light rain
Atasu,KZ,48.6814,71.6433,73.42,12,0,9.22,clear sky
Matadi,CD,-5.8167,13.45,88.14,48,96,7.34,overcast clouds
Bom Jesus,BR,-9.0744,-44.3586,87.62,35,45,9.35,scattered clouds
Sabha,LY,27.0377,14.4283,100.35,9,0,7.34,clear sky
Salinopolis,BR,-0.6136,-47.3561,83.21,69,92,11.72,overcast clouds
East London,ZA,-33.0153,27.9116,59.94,88,75,8.05,broken clouds
Arlit,NE,18.7369,7.3853,100.22,23,70,3.69,broken clouds
Bulgan,MN,48.8125,103.5347,44.82,62,3,4.16,clear sky
Lorengau,PG,-2.0226,147.2712,80.11,81,57,9.51,broken clouds
Bandarbeyla,SO,9.4942,50.8122,83.43,66,78,29.57,broken clouds
Kavieng,PG,-2.5744,150.7967,80.67,78,99,7.18,light rain
Brookhaven,US,31.5791,-90.4407,69.8,96,0,2.68,clear sky
Yulara,AU,-25.2406,130.9889,78.01,17,68,8.16,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,73,20,10.36,few clouds
Porto Nacional,BR,-10.7081,-48.4172,84.2,23,88,9.33,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,80.51,88,100,5.01,overcast clouds
Pangody,RU,65.85,74.4859,48.06,77,93,12.35,overcast clouds
Mataura,NZ,-46.1927,168.8643,46.47,96,16,3.22,few clouds
Grindavik,IS,63.8424,-22.4338,52.27,93,75,21.85,broken clouds
Khatanga,RU,71.9667,102.5,26.46,83,51,10.02,broken clouds
Klaksvik,FO,62.2266,-6.589,49.12,85,57,20.49,broken clouds
Port Blair,IN,11.6667,92.75,82.44,78,75,9.22,drizzle
